Mes_Servicio,DMU_Servicio,CEM_Porcentaje_Error,servicio,DOE_Prom_Mensual,MA_Potencial_Perdido,Segmento
11.0,0.0,0.0,6900.0,16.666666666666668,0.0,AGRICOLA
11.0,0.0,0.45977011494252873,8700.0,16.666666666666668,0.0,AGRICOLA
12.0,197.0,2.5256410256410255,7800.0,36.75,0.0,AGRICOLA
1.0,0.0,0.16666666666666669,5400.0,143.79166666666666,9900.0,AGRICOLA
1.0,0.0,0.0,4800.0,143.79166666666666,9900.0,AGRICOLA
2.0,0.0,0.7843137254901961,5100.0,143.79166666666666,9900.0,AGRICOLA
4.0,17.0,0.24637681159420288,6900.0,143.79166666666666,9900.0,AGRICOLA
5.0,204.0,2.833333333333333,7200.0,143.79166666666666,9900.0,AGRICOLA
6.0,0.0,0.5789473684210527,5700.0,143.79166666666666,9900.0,AGRICOLA
6.0,98.0,1.5555555555555556,6300.0,143.79166666666666,9900.0,AGRICOLA
6.0,0.0,0.26666666666666666,6000.0,143.79166666666666,9900.0,AGRICOLA
12.0,0.0,0.2,7500.0,143.79166666666666,9900.0,AGRICOLA
1.0,0.0,0.5128205128205128,7800.0,143.79166666666666,9900.0,AGRICOLA
4.0,0.0,0.43209876543209874,8100.0,143.79166666666666,9900.0,AGRICOLA
4.0,0.0,0.3214285714285714,8400.0,143.79166666666666,9900.0,AGRICOLA
5.0,0.0,0.45977011494252873,8700.0,143.79166666666666,9900.0,AGRICOLA
7.0,0.0,0.42222222222222217,9000.0,143.79166666666666,9900.0,AGRICOLA
1.0,0.0,0.0,4200.0,85.875,0.0,AGRICOLA
2.0,0.0,0.7333333333333333,4500.0,85.875,0.0,AGRICOLA
3.0,0.0,0.6875,4800.0,85.875,0.0,AGRICOLA
4.0,6.0,0.09523809523809523,6300.0,85.875,0.0,AGRICOLA
4.0,0.0,0.29411764705882354,5100.0,85.875,0.0,AGRICOLA
5.0,0.0,0.0,6900.0,85.875,0.0,AGRICOLA
5.0,0.0,0.7017543859649122,5700.0,85.875,0.0,AGRICOLA
